Concept;Ancestral Branch ID;Ancestral Branch Name;Reconstructed Proto-Form;Confidence Score;Primary Proto-Node Attestations
fish;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*kälV;0.98;"Ностратический праязык / Proto-Nostratic: *kälV; Прасино-тибетский / Proto-Sino-Tibetan: *s-ŋya; Праиндоевропейский / Proto-Indo-European: *dʰǵʰúh₂; Прауральский / Proto-Uralic: *kala"
fish;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*sami;0.98;"Proto-Cahuapanan: *sami; Proto-Jabuti: *mĩnũ"
fly;branch_african;Proto-Sapiens Africanus (Праафриканский);*om;0.98;"Proto North Khoisan: *om #; Proto-!Wi: *zeˤ #"
fly;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*ʔiV;0.98;"Proto-Lezgian: *ʔiV; Proto-Nakh: *leːl-; Proto-Yeniseian: *=doːq #; Proto-Taa: *ʒõẽˤ"
fly;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*pɨn-;0.98;"Proto-Cahuapanan: *pɨn-; Proto-Jabuti: *ᶚɔpɔ"
foot;branch_african;Proto-Sapiens Africanus (Праафриканский);*r-k-l;0.98;"Праафразийский праязык / Proto-Afroasiatic: *r-g-l; Прасемитский / Proto-Semitic: *rigl-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: rd; Proto-Kalahari Khoe: *are ~ *!are"
foot;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*patV;0.98;"Ностратический праязык / Proto-Nostratic: *p[a]dV; Прасино-тибетский / Proto-Sino-Tibetan: *k-riŋ; Праиндоевропейский / Proto-Indo-European: *pṓds; Прауральский / Proto-Uralic: *jalka"
foot;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*lan-tɨʔ;0.98;"Proto-Cahuapanan: *lan-tɨʔ; Proto-Jabuti: *pɾay"
full;branch_african;Proto-Sapiens Africanus (Праафриканский);*ǀxʼoɛ;0.98;"Proto-Kalahari Khoe: *ǀxʼoɛ; Proto-Khoekhoe: *ǀxʼoa-; Proto North Khoisan: *àʔŋ; Proto-!Wi: *!qauŋ #"
full;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*pl̥h₁nós;0.98;"Праиндоевропейский / Proto-Indo-European: *pl̥h₁nós; Proto-Lezgian: *hˤacʼɨ-; Proto-Nakh: *=ucʼ-; Proto-Yeniseian: *ʔute"
full;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*nbɘy;0.98;Proto-Jabuti: *nbɘy
give;branch_african;Proto-Sapiens Africanus (Праафриканский);*ntn / whb;0.98;"Прасемитский / Proto-Semitic: *ntn / *whb; Proto-Kalahari Khoe: *ma ~ *mã; Proto-Khoekhoe: *ma; Proto North Khoisan: *ǀãʔã"
give;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*deh₃-;0.98;"Праиндоевропейский / Proto-Indo-European: *deh₃-; Proto-Lezgian: *ʔiƛːɨ-; Proto-Nakh: *=aɬ-; Proto-Yeniseian: *n=...=o #"
give;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*kʷa;0.98;"Proto-Cahuapanan: *kʷa; Proto-Jabuti: *ʔũ"
good;branch_african;Proto-Sapiens Africanus (Праафриканский);*ṭāb-;0.98;"Прасемитский / Proto-Semitic: *ṭāb-; Proto-Kalahari Khoe: *tʼoni; Proto-Khoekhoe: *!ãĩ; Proto North Khoisan: *žã"
good;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*h₁su- / wésus;0.98;"Праиндоевропейский / Proto-Indo-European: *h₁su- / *wésus; Proto-Lezgian: *yukːɨ-; Proto-Nakh: *dak- ~ *dik-; Proto-Yeniseian: *haq-"
good;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*paʔ- / pak-;0.98;"Proto-Cahuapanan: *paʔ- / *pak-; Proto-Jabuti: *c̢aɣi #"
hair;branch_african;Proto-Sapiens Africanus (Праафриканский);*ǀʼũ;0.98;"Proto-Kalahari Khoe: *ǀʼũ; Proto-Khoekhoe: *ǀʼũ-; Proto North Khoisan: *!kxúí; Proto-!Wi: *ǀʰu"
hair;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*čʼaˤr;0.98;"Proto-Lezgian: *čʼaˤr; Proto-Nakh: *čo; Proto-Yeniseian: *cəŋe; Proto-Taa: *qʰu-"
hair;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*in;0.98;"Proto-Cahuapanan: *in; Proto-Jabuti: *c̢i ~ *ʔi"
hand;branch_african;Proto-Sapiens Africanus (Праафриканский);*y-d;0.98;"Праафразийский праязык / Proto-Afroasiatic: *y-d; Прасемитский / Proto-Semitic: *yad-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: ḏrt; Proto-Kalahari Khoe: *cʰau"
hand;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*kAtV;0.98;"Борейский праязык / Proto-Borean: *kAtV; Ностратический праязык / Proto-Nostratic: *kätV; Прасино-тибетский / Proto-Sino-Tibetan: *k-lak; Праиндоевропейский / Proto-Indo-European: *ǵʰésr̥"
hand;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*kʼab;0.88;Classical Maya / Классический майя [myn]: kʼab
head;branch_african;Proto-Sapiens Africanus (Праафриканский);*raʔš-;0.98;"Прасемитский / Proto-Semitic: *raʔš-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: ḏꜣḏꜣ / tp; Proto-Kalahari Khoe: *ǂu; Proto North Khoisan: *ʔē"
head;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*káp-ut-;0.98;"Праиндоевропейский / Proto-Indo-European: *káp-ut-; Прауральский / Proto-Uralic: *ojwa; Proto-Lezgian: *woƛʼul; Proto-Nakh: *korta"
head;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*mutuʔ;0.98;"Proto-Cahuapanan: *mutuʔ; Proto-Jabuti: *kay"
hear;branch_african;Proto-Sapiens Africanus (Праафриканский);*kúḿ;0.98;"Proto-Kalahari Khoe: *kúḿ; Proto-Khoekhoe: *ãũ; Proto North Khoisan: *sàʔā; Proto-!Wi: *tu"
hear;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*ḱlew-;0.98;"Праиндоевропейский / Proto-Indo-European: *ḱlew-; Proto-Lezgian: *ʔeɬɨ- ~ *ʔeɬːɨ-; Proto-Nakh: *xacʼ-; Proto-Yeniseian: *=ta"
hear;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*wɨ;0.98;"Proto-Cahuapanan: *wɨ; Proto-Jabuti: *nbə"
heart;branch_african;Proto-Sapiens Africanus (Праафриканский);*l-b-b;0.98;"Праафразийский праязык / Proto-Afroasiatic: *l-b-b; Прасемитский / Proto-Semitic: *libb-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: jb / ḥꜣty; Proto-Kalahari Khoe: *ǂáó"
heart;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*ḳVrV;0.98;"Борейский праязык / Proto-Borean: *ḳVrV; Ностратический праязык / Proto-Nostratic: *ḳerdV; Сино-кавказский праязык / Proto-Sino-Caucasian: *rīḳV; Прасино-тибетский / Proto-Sino-Tibetan: *s-niŋ"
heart;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*yɪnlupɪ;0.98;"Proto-Cahuapanan: *yɪnlupɪ; Proto-Jabuti: *nbə=tɨtɨ-ka ~ *nbə=tutu-ka"
heavy;branch_african;Proto-Sapiens Africanus (Праафриканский);*!om;0.98;"Proto-Kalahari Khoe: *!om; Proto-Khoekhoe: *!um; Proto North Khoisan: *tȉʰ"
heavy;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*hˤiqʼʷɨ;0.98;"Proto-Lezgian: *hˤiqʼʷɨ; Proto-Nakh: *=acʼ-in; Proto-Yeniseian: *səɢ-; Ancient Attic Greek (Plato) [grc]: bar-ǘ- {βαρύς}"
heavy;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*kom ~ kum;0.92;Proto-Jabuti: *kom ~ *kum
horn;branch_african;Proto-Sapiens Africanus (Праафриканский);*â;0.98;"Proto-Kalahari Khoe: *â; Proto-Khoekhoe: *ã-; Proto North Khoisan: *!ʰú; Proto-!Wi: *ǁẽĩ"
horn;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*kalč ~ kʼalč ~ kːalč;0.98;"Proto-Lezgian: *kalč ~ *kʼalč ~ *kːalč; Proto-Nakh: *muʡaʔ; Proto-Yeniseian: *qɔʔ; Proto-Taa: *ǁã-"
horn;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*pɨnmun;0.98;"Proto-Cahuapanan: *pɨnmun; Proto-Jabuti: *=ku"
i;branch_african;Proto-Sapiens Africanus (Праафриканский);*ʔanāku;0.98;"Прасемитский / Proto-Semitic: *ʔanāku; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: jnk; Proto-Kalahari Khoe: *ti; Proto-Khoekhoe: *ti-"
i;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*ŋa-y;0.98;"Прасино-тибетский / Proto-Sino-Tibetan: *ŋa-y; Праиндоевропейский / Proto-Indo-European: *éǵh₂; Прауральский / Proto-Uralic: *minä; Proto-Lezgian: *pːVhˤV- ~ *hˤVpːV-"
i;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*kʷa;0.98;"Proto-Cahuapanan: *kʷa; Proto-Jabuti: *ʔi- #"
kill;branch_african;Proto-Sapiens Africanus (Праафриканский);*ǀxʼũ;0.98;"Proto-Kalahari Khoe: *ǀxʼũ; Proto-Khoekhoe: *!am; Proto North Khoisan: *!ʰṹ; Proto-!Wi: *ǀʰa ~ *ǀʰi #"
kill;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*ʔiƛʼe;0.98;"Proto-Lezgian: *ʔiƛʼe; Proto-Nakh: *=ʡeːw-; Proto-Yeniseian: *ʔeːy [*xeːy]; Proto-Taa: *qa- #"
kill;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*kʷa;0.98;"Proto-Cahuapanan: *kʷa; Proto-Jabuti: *ʔi- #"
knee;branch_african;Proto-Sapiens Africanus (Праафриканский);*ǁoɛ;0.98;"Proto-Kalahari Khoe: *ǁoɛ; Proto-Khoekhoe: *ǁoa-; Proto North Khoisan: *xòà; Proto-!Wi: *u-aŋ ~ *o-aŋ"
knee;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*pɨˤmp ~ pʼɨˤmpʼ;0.98;"Proto-Lezgian: *pɨˤmp ~ *pʼɨˤmpʼ; Proto-Nakh: *gagu; Proto-Yeniseian: *baʔt; Proto-Taa: *xũ"
knee;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*tuʔtuʔpɪ;0.98;"Proto-Cahuapanan: *tuʔtuʔpɪ; Proto-Jabuti: *pɛpɛ ~ *nbɛpɛ"
know;branch_african;Proto-Sapiens Africanus (Праафриканский);*!ʼã;0.98;"Proto-Kalahari Khoe: *!ʼã; Proto-Khoekhoe: *ǂʼan; Proto North Khoisan: *!ʼʰã; Proto-!Wi: *ǁxae #"
know;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*ǵneh₃-;0.98;"Праиндоевропейский / Proto-Indo-European: *ǵneh₃-; Proto-Lezgian: *ʔacʼa-; Proto-Nakh: *xaʔ-; Proto-Taa: *uma- #"
know;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*nbə;0.98;Proto-Jabuti: *nbə
leaf;branch_african;Proto-Sapiens Africanus (Праафриканский);*ana;0.98;"Proto-Kalahari Khoe: *ana; Proto North Khoisan: *oa #"
leaf;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*ƛʼačʼa;0.98;"Proto-Lezgian: *ƛʼačʼa; Proto-Nakh: *ɣa; Proto-Yeniseian: *yəːpe; Proto-Taa: *ana #"
leaf;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*nĩ;0.98;"Proto-Jabuti: *nĩ; *ᶚaɾɔ ~ *ǯaɾɔ ~ *čaɾɔ"
lie;branch_african;Proto-Sapiens Africanus (Праафриканский);*ǁoe;0.98;"Proto-Kalahari Khoe: *ǁoe; Proto-Khoekhoe: *ǁoe; Proto North Khoisan: *šú; Proto-!Wi: *ta"
lie;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*ʔaär-;0.98;"Proto-Lezgian: *ʔaär-; Proto-Nakh: *=ill-; Proto-Yeniseian: *=qɔt; Proto-Taa: *tu"
lie;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*kʷa;0.98;"Proto-Cahuapanan: *kʷa; Proto-Jabuti: *ʔi- #"
liver;branch_african;Proto-Sapiens Africanus (Праафриканский);*xʼẽĩ;0.98;"Proto-Kalahari Khoe: *xʼẽĩ; Proto-Khoekhoe: *xʼãĩ-; Proto North Khoisan: *či; Proto-!Wi: *aN"
liver;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*läƛʼ;0.98;"Proto-Lezgian: *läƛʼ; Proto-Nakh: *doʡax ~ *doʡex; Proto-Yeniseian: *seŋ #; Proto-Taa: *am"
liver;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*kaŋkan;0.98;"Proto-Cahuapanan: *kaŋkan; Proto-Jabuti: *nbə"
long;branch_african;Proto-Sapiens Africanus (Праафриканский);*!ao;0.98;"Proto-Kalahari Khoe: *!ao; Proto-Khoekhoe: *kai-xu; Proto North Khoisan: *aʔŋ; Proto-!Wi: *ǀʼã"
long;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*hˤalä-;0.98;"Proto-Lezgian: *hˤalä-; Proto-Nakh: *=ʕaːx-in; Proto-Yeniseian: *ʔux-; Ancient Attic Greek (Plato) [grc]: mak-r-ó- {μακρός}"
long;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*təɾɘy;0.98;Proto-Jabuti: *təɾɘy
louse;branch_african;Proto-Sapiens Africanus (Праафриканский);*xʼuni;0.98;"Proto-Kalahari Khoe: *xʼuni; Proto-Khoekhoe: *xʼuri-; Proto North Khoisan: *cʼí; Proto-!Wi: *u-"
louse;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*näcʼː;0.98;"Proto-Lezgian: *näcʼː; Proto-Nakh: *macʼe; Proto-Yeniseian: *ʔəːke [*xəːke]; Proto-Taa: *ũˤ #"
louse;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*tɪmɨn;0.98;"Proto-Cahuapanan: *tɪmɨn; Proto-Jabuti: *taŋ"
man;branch_african;Proto-Sapiens Africanus (Праафриканский);*xʼao;0.98;"Proto-Kalahari Khoe: *xʼao; Proto-Khoekhoe: *xʼao-; Proto North Khoisan: *!ʼʰõã; Proto-!Wi: *ǂo ~ *ǂʼo #"
man;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*šːʷiy;0.98;"Proto-Lezgian: *šːʷiy; Proto-Nakh: *stʼakʼ; Proto-Yeniseian: *pixe; Proto-Taa: *ƛâ=àˤ"
man;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*kɨnmaʔ-pɨn ~ kɨnmaʔ-pɪn;0.98;"Proto-Cahuapanan: *kɨnmaʔ-pɨn ~ *kɨnmaʔ-pɪn; Proto-Jabuti: *pako"
many;branch_african;Proto-Sapiens Africanus (Праафриканский);*xʼao;0.98;"Proto-Kalahari Khoe: *xʼao; Proto-Khoekhoe: *ǂui #; Proto North Khoisan: *ǂʰí; Proto-!Wi: *ǂo ~ *ǂʼo #"
many;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*ʔaˤɨ-;0.98;"Proto-Lezgian: *ʔaˤɨ-; Proto-Nakh: *duqa; Proto-Yeniseian: *bəy- #; Proto-Taa: *ǁari"
many;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*kɨnmaʔ-pɨn ~ kɨnmaʔ-pɪn;0.98;Proto-Cahuapanan: *kɨnmaʔ-pɨn ~ *kɨnmaʔ-pɪn
meat;branch_african;Proto-Sapiens Africanus (Праафриканский);*xʼo-xu;0.98;"Proto-Kalahari Khoe: *xʼo-xu; Proto-Khoekhoe: *xʼo-; Proto North Khoisan: *ʰā; Proto-!Wi: *ʘoa"
meat;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*yaƛʼː;0.98;"Proto-Lezgian: *yaƛʼː; Proto-Nakh: *dilxu; Proto-Yeniseian: *ʔise; Proto-Taa: *ʘa-"
meat;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*kaʔ- / kap-;0.98;"Proto-Cahuapanan: *kaʔ- / *kap-; Proto-Jabuti: *nĩ"
moon;branch_african;Proto-Sapiens Africanus (Праафриканский);*waraḫ-;0.98;"Прасемитский / Proto-Semitic: *waraḫ-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: jꜥḥ; Proto-Kalahari Khoe: *oɛ; Proto-Khoekhoe: *ǁxã-"
moon;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*s-la;0.98;"Прасино-тибетский / Proto-Sino-Tibetan: *s-la; Праиндоевропейский / Proto-Indo-European: *mḗh₁n̥s; Прауральский / Proto-Uralic: *kuŋe; Proto-Lezgian: *wacː"
moon;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*yuki;0.98;"Proto-Cahuapanan: *yuki; Proto-Jabuti: *kupa"
mother;branch_african;Proto-Sapiens Africanus (Праафриканский);*ʔimm-;0.98;"Праафразийский праязык / Proto-Afroasiatic: *ʔimm-; Прасемитский / Proto-Semitic: *ʔimm-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: mwt; Old Akkadian / Древнеаккадский [akk]: ummu"
mother;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*mVr- / mAjV;0.98;"Борейский праязык / Proto-Borean: *mVr- / *mAjV; Ностратический праязык / Proto-Nostratic: *mAjV / *ʔemV; Сино-кавказский праязык / Proto-Sino-Caucasian: *ʔanV / *mā; Прасино-тибетский / Proto-Sino-Tibetan: *mow / *ʔam"
mother;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*pA;0.70;Reconstructed via comparative macrofamily root
mountain;branch_african;Proto-Sapiens Africanus (Праафриканский);*ti;0.98;"Proto-Kalahari Khoe: *ti; Proto-Khoekhoe: *ǀʼui-; Proto North Khoisan: *ʔòm; Proto-!Wi: *!ao #"
mountain;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*sɨwa;0.98;"Proto-Lezgian: *sɨwa; Proto-Nakh: *laːm; Proto-Yeniseian: *rʸɨʔǯ; Proto-Taa: *!um"
mountain;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*mutupɪ;0.98;"Proto-Cahuapanan: *mutupɪ; Proto-Jabuti: *ʔi- #"
mouth;branch_african;Proto-Sapiens Africanus (Праафриканский);*xʼam;0.98;"Proto-Kalahari Khoe: *xʼam; Proto-Khoekhoe: *xʼam-; Proto North Khoisan: *cʼí; Proto-!Wi: *ǂu"
mouth;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*sːɨw;0.98;"Proto-Lezgian: *sːɨw; Proto-Nakh: *bakʼa; Proto-Yeniseian: *qowe; Proto-Taa: *ǂu-"
mouth;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*laʔ-laʔ ~ lan-lan / lan-lam-;0.98;"Proto-Cahuapanan: *laʔ-laʔ ~ *lan-lan / *lan-lam-; Proto-Jabuti: *ᶚa-kɔ"
name;branch_african;Proto-Sapiens Africanus (Праафриканский);*s-m;0.98;"Праафразийский праязык / Proto-Afroasiatic: *s-m; Прасемитский / Proto-Semitic: *šim-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: rn; Proto-Kalahari Khoe: *ǀxʼon"
name;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*nimV;0.98;"Борейский праязык / Proto-Borean: *n[i]mV; Ностратический праязык / Proto-Nostratic: *n[i]mV; Сино-кавказский праязык / Proto-Sino-Caucasian: *m[i]n; Прасино-тибетский / Proto-Sino-Tibetan: *r-miŋ"
name;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*lɪn ~ lɪn-lɪn;0.98;"Proto-Cahuapanan: *lɪn ~ *lɪn-lɪn; Proto-Jabuti: *taŋc̢i"
near;branch_african;Proto-Sapiens Africanus (Праафриканский);*ǀu;0.98;"Proto-Kalahari Khoe: *ǀu; Proto-Khoekhoe: *ǀu; Proto North Khoisan: *toʔm; Proto-!Wi: *u-"
near;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*ʔˤamː;0.98;"Proto-Lezgian: *ʔˤamː; Proto-Nakh: *garge; Proto-Yeniseian: *ʔuti [*xuti]; Proto-Taa: *u-"
near;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*wɨ;0.93;"Proto-Cahuapanan: *wɨ; Proto-Jabuti: *ɾɛɾi"
neck;branch_african;Proto-Sapiens Africanus (Праафриканский);*!xʼao;0.98;"Proto-Kalahari Khoe: *!xʼao; Proto-Khoekhoe: *!xʼao-; Proto North Khoisan: *àŋi; Proto-!Wi: *ǂqu"
neck;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*ˤaw;0.98;"Proto-Lezgian: *ˤaw; Proto-Nakh: *yaʡ #; Proto-Yeniseian: *kəqənt; Proto-Taa: *ǂxʼãũ"
neck;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*uŋki;0.98;"Proto-Cahuapanan: *uŋki; Proto-Jabuti: *kɔpɔ"
new;branch_african;Proto-Sapiens Africanus (Праафриканский);*xʼoa;0.98;"Proto-Kalahari Khoe: *xʼoa; Proto-Khoekhoe: *ǀʼa-sa #; Proto North Khoisan: *ʒe"
new;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*néwos;0.98;"Праиндоевропейский / Proto-Indo-European: *néwos; Proto-Lezgian: *cʼen-class-ä-; Proto-Nakh: *cʼin-a #; Proto-Yeniseian: *giʔ"
new;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*=təy;0.98;Proto-Jabuti: *=təy
night;branch_african;Proto-Sapiens Africanus (Праафриканский);*layl-;0.98;"Прасемитский / Proto-Semitic: *layl-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: grḥ; Proto-Kalahari Khoe: *tʰu; Proto-Khoekhoe: *tʰu-xu-"
night;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*ya / s-ryak;0.98;"Прасино-тибетский / Proto-Sino-Tibetan: *ya / *s-r(y)ak; Праиндоевропейский / Proto-Indo-European: *nókʷts; Прауральский / Proto-Uralic: *üji; Proto-Lezgian: *ʡišːʷ"
night;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*kʷa;0.98;"Proto-Cahuapanan: *kʷa; Proto-Jabuti: *ʔi- #"
nose;branch_african;Proto-Sapiens Africanus (Праафриканский);*ǂui;0.98;"Proto-Kalahari Khoe: *ǂui; Proto-Khoekhoe: *ǂui-; Proto North Khoisan: *ckxú; Proto-!Wi: *u"
nose;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*muʔel;0.98;"Proto-Lezgian: *muʔel; Proto-Nakh: *marɬo; Proto-Yeniseian: *xaŋ; Proto-Taa: *uʰ-"
nose;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*ni-tɨʔ;0.98;"Proto-Cahuapanan: *ni-tɨʔ; Proto-Jabuti: *nĩ=nĩ"
not;branch_african;Proto-Sapiens Africanus (Праафриканский);*=tama;0.98;"Proto-Kalahari Khoe: *=tama; Proto-Khoekhoe: *tama; Proto North Khoisan: *ǀōā; Proto-!Wi: *ǁ- #"
not;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*tːV-;0.98;"Proto-Lezgian: *tːV-; Proto-Nakh: *ca ~ *co; Proto-Yeniseian: *wən; Proto-Taa: *ǁqʰu-"
not;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*kuʔ;0.98;"Proto-Cahuapanan: *kuʔ; Proto-Jabuti: *tɐ"
one;branch_african;Proto-Sapiens Africanus (Праафриканский);*w-ʕ-d;0.98;"Праафразийский праязык / Proto-Afroasiatic: *w-ʕ-d; Прасемитский / Proto-Semitic: *ʔaḥad-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: wꜥ; Proto-Kalahari Khoe: *ǀui"
one;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*tikV;0.98;"Борейский праязык / Proto-Borean: *tikV; Ностратический праязык / Proto-Nostratic: *ʔoynV; Сино-кавказский праязык / Proto-Sino-Caucasian: *sV / *c̣[i]k; Прасино-тибетский / Proto-Sino-Tibetan: *kat / *t(y)ik"
one;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*aʼlaʔ;0.98;"Proto-Cahuapanan: *aʼlaʔ; Proto-Jabuti: *ǯi ~ *ʔi"
person;branch_african;Proto-Sapiens Africanus (Праафриканский);*kʰoe;0.98;"Proto-Kalahari Khoe: *kʰoe; Proto-Khoekhoe: *kʰoe-; Proto North Khoisan: *ǯù; Proto-!Wi: *!u-(i)"
person;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*šːʷiy;0.98;"Proto-Lezgian: *šːʷiy; Proto-Nakh: *stʼ-akʼ; Proto-Yeniseian: *keʔt; Proto-Taa: *ƛâ"
person;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*kɨnmaʔ;0.98;Proto-Cahuapanan: *kɨnmaʔ
rain;branch_african;Proto-Sapiens Africanus (Праафриканский);*tu;0.98;"Proto-Kalahari Khoe: *tu; Proto-Khoekhoe: *tu-; Proto North Khoisan: *à; Proto-!Wi: *ǂqa-"
